5,7
6,8
8,7
9,7
11,6
12,9
15,9
16,8
17,5
18,6
24,8
26,6
43,7
44,6
48,7
51,6
52,6
55,6
63,6
66,5
69,7
74,7
88,7
91,7
95,5
100,5
102,5
105,6
132,8
138,7
139,7
143,8
145,6
147,6
158,6
159,8
160,5
168,6
177,7
181,6
195,5
198,5
204,6
207,6
212,7
214,8
219,7
240,7
250,6
252,8
259,7
260,7
275,8
284,6
287,6
293,6
297,6
299,8
41,8
42,7
45,9
49,6
61,7
84,10
93,7
97,6
101,8
108,5
111,6
113,9
116,7
117,7
118,6
119,6
124,6
126,7
127,6
137,6
140,7
141,5
150,10
153,6
154,6
156,5
163,6
178,11
180,7
185,6
186,8
187,7
188,6
192,5
193,6
202,8
203,7
206,6
215,8
221,9
222,5
223,6
226,5
229,7
234,9
238,5
241,7
247,5
254,7
258,6
265,10
268,7
282,6
295,6
1,34
3,5
14,6
19,8
22,8
23,7
30,7
34,5
35,7
36,6
39,8
56,7
57,6
59,6
60,6
62,8
64,6
68,5
70,6
76,6
77,7
80,5
85,6
86,6
87,7
90,6
96,5
98,6
99,8
104,6
110,8
112,9
115,5
123,6
129,6
130,6
133,9
135,6
149,8
151,6
152,5
157,6
161,5
176,5
179,11
182,6
191,5
194,8
201,7
213,5
224,5
231,6
232,7
235,7
239,6
242,5
249,8
251,6
253,7
255,6
256,6
261,6
262,7
266,6
271,7
272,9
273,5
276,7
278,5
283,6
286,7
288,6
292,9
298,6
2,7
7,9
10,6
20,6
27,10
28,6
31,7
33,8
46,8
50,6
53,8
65,7
67,7
73,7
78,5
83,6
89,8
92,8
94,5
103,6
109,6
122,7
125,5
128,7
131,6
134,7
162,9
165,5
169,7
170,9
171,13
172,7
173,5
174,7
184,6
190,6
209,8
210,6
211,6
230,8
237,6
244,7
257,5
269,6
274,7
279,8
280,6
281,6
290,6
291,5
294,9
4,10
13,8
21,6
25,8
29,6
32,8
37,9
38,8
40,9
47,8
54,6
58,7
71,7
72,5
75,7
79,6
81,7
82,6
106,6
107,6
114,5
120,5
121,7
136,7
142,5
144,8
146,6
148,9
155,8
164,5
166,6
167,7
175,6
183,7
189,7
196,7
197,7
199,8
200,5
205,7
208,7
216,6
217,6
218,6
220,5
225,5
227,6
228,6
233,6
236,7
243,5
245,8
246,5
248,7
263,7
264,9
267,6
270,15
277,8
285,5
289,5
296,8
