2,9
8,9
13,9
14,8
15,9
21,8
22,9
25,9
32,9
33,8
36,8
37,8
41,7
48,8
51,8
52,9
54,8
56,10
57,9
67,9
68,8
70,10
75,8
76,8
77,9
78,9
80,8
81,9
82,8
84,113
89,105
90,104
96,108
99,104
100,103
104,104
105,111
111,102
112,107
114,104
119,106
123,103
124,102
128,126
129,116
130,63
132,92
136,109
137,106
139,103
140,106
146,114
147,104
151,103
152,103
154,105
156,77
157,18
159,7
160,8
164,8
167,8
169,9
175,7
176,7
177,17
178,10
180,8
183,8
184,9
185,9
190,8
191,8
193,9
197,114
198,141
204,108
207,104
208,103
209,322
210,124
214,104
216,112
217,112
218,126
219,117
224,110
235,104
240,107
243,109
244,104
248,104
250,109
251,106
257,103
258,103
261,104
263,105
265,122
267,104
272,10
273,8
